size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
4,"8,10,14,15","(2.000,1.000);(1.500,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.12500,0.12500,0.18800",132.40476936446316,2.0,1.625,1.1875
4,"8,9,10,14","(2.000,1.000);(2.500,1.000);(1.500,1.500);(2.000,2.000)","0.12500,0.12500,0.12500,0.12500",132.40476936446316,2.0,1.375,1.1875
4,"2,3,9,12","(2.000,0.000);(2.500,0.000);(2.500,1.000);(2.500,1.500)","0.12500,0.18800,0.12500,0.12500",132.41599240688137,2.375,0.625,1.875
4,"1,4,5,10","(1.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.500)","0.18800,0.12500,0.25000,0.12500",132.91528309115228,1.625,0.625,1.375
4,"4,10,11,13","(1.500,0.500);(1.500,1.500);(2.000,1.500);(1.500,2.000)","0.12500,0.12500,0.25000,0.12500",132.91528309115228,1.625,1.375,1.375
4,"4,7,8,13","(1.500,0.500);(1.500,1.000);(2.000,1.000);(1.500,2.000)","0.12500,0.18800,0.12500,0.12500",132.91528309115228,1.625,1.125,1.375
4,"3,6,10,12","(2.500,0.000);(2.500,0.500);(1.500,1.500);(2.500,1.500)","0.18800,0.18800,0.12500,0.12500",133.28207177057183,2.25,0.875,2.4375
4,"4,6,12,15","(1.500,0.500);(2.500,0.500);(2.500,1.500);(2.500,2.000)","0.12500,0.18800,0.12500,0.18800",133.28207177057183,2.25,1.125,2.4375
4,"6,9,13,15","(2.500,0.500);(2.500,1.000);(1.500,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.18800",133.28207177057183,2.25,1.375,2.4375
4,"2,5,6,13","(2.000,0.000);(2.000,0.500);(2.500,0.500);(1.500,2.000)","0.12500,0.25000,0.18800,0.12500",134.26384668539376,2.0,0.75,2.75
