size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
5,"1,4,8,13,15","(1.500,0.000);(1.500,0.500);(2.000,1.000);(1.500,2.000);(2.500,2.000)","0.18800,0.12500,0.12500,0.12500,0.18800",280.1818574446438,1.8,1.1,4.0
5,"1,4,9,13,14","(1.500,0.000);(1.500,0.500);(2.500,1.000);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.12500,0.12500,0.12500",280.1818574446438,1.8,1.1,4.0
5,"1,5,7,13,15","(1.500,0.000);(2.000,0.500);(1.500,1.000);(1.500,2.000);(2.500,2.000)","0.18800,0.25000,0.18800,0.12500,0.18800",280.1818574446438,1.8,1.1,4.0
5,"1,6,7,13,14","(1.500,0.000);(2.500,0.500);(1.500,1.000);(1.500,2.000);(2.000,2.000)","0.18800,0.18800,0.18800,0.12500,0.12500",280.1818574446438,1.8,1.1,4.0
5,"2,4,7,13,15","(2.000,0.000);(1.500,0.500);(1.500,1.000);(1.500,2.000);(2.500,2.000)","0.12500,0.12500,0.18800,0.12500,0.18800",280.1818574446438,1.8,1.1,4.0
5,"3,4,7,13,14","(2.500,0.000);(1.500,0.500);(1.500,1.000);(1.500,2.000);(2.000,2.000)","0.18800,0.12500,0.18800,0.12500,0.12500",280.1818574446438,1.8,1.1,4.0
5,"1,2,7,11,12","(1.500,0.000);(2.000,0.000);(1.500,1.000);(2.000,1.500);(2.500,1.500)","0.18800,0.12500,0.18800,0.25000,0.12500",280.6195646473085,1.9,0.8,3.0
5,"1,9,10,11,14","(1.500,0.000);(2.500,1.000);(1.500,1.500);(2.000,1.500);(2.000,2.000)","0.18800,0.12500,0.12500,0.25000,0.12500",280.6195646473085,1.9,1.2,3.0
5,"2,4,5,7,15","(2.000,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.500,2.000)","0.12500,0.12500,0.25000,0.18800,0.18800",280.6195646473085,1.9,0.8,3.0
5,"3,7,10,11,14","(2.500,0.000);(1.500,1.000);(1.500,1.500);(2.000,1.500);(2.000,2.000)","0.18800,0.18800,0.12500,0.25000,0.12500",280.6195646473085,1.9,1.2,3.0
5,"1,7,11,12,14","(1.500,0.000);(1.500,1.000);(2.000,1.500);(2.500,1.500);(2.000,2.000)","0.18800,0.18800,0.25000,0.12500,0.12500",280.61956464730855,1.9,1.2,3.0
5,"1,8,10,12,14","(1.500,0.000);(2.000,1.000);(1.500,1.500);(2.500,1.500);(2.000,2.000)","0.18800,0.12500,0.12500,0.12500,0.12500",280.61956464730855,1.9,1.2,3.0
