size,group_indices,group_points,diameters,P_fail_lbf,centroid_x,centroid_y,sum_r2
7,"3,4,6,7,9,11,13","(2.500,0.000);(1.500,0.500);(2.500,0.500);(1.500,1.000);(2.500,1.000);(2.000,1.500);(1.500,2.000)","0.18800,0.12500,0.18800,0.18800,0.12500,0.25000,0.12500",231.95728262969027,2.0,0.9285714285714286,4.214285714285714
7,"3,4,6,8,9,10,13","(2.500,0.000);(1.500,0.500);(2.500,0.500);(2.000,1.000);(2.500,1.000);(1.500,1.500);(1.500,2.000)","0.18800,0.12500,0.18800,0.12500,0.12500,0.12500,0.12500",231.95728262969027,2.0,0.9285714285714286,4.214285714285714
7,"3,5,6,7,9,10,13","(2.500,0.000);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.500,1.000);(1.500,1.500);(1.500,2.000)","0.18800,0.25000,0.18800,0.18800,0.12500,0.12500,0.12500",231.95728262969027,2.0,0.9285714285714286,4.214285714285714
7,"1,2,4,5,8,9,12","(1.500,0.000);(2.000,0.000);(1.500,0.500);(2.000,0.500);(2.000,1.000);(2.500,1.000);(2.500,1.500)","0.18800,0.12500,0.12500,0.25000,0.12500,0.12500,0.12500",232.00007222954073,2.0,0.6428571428571429,2.857142857142857
7,"1,2,5,6,7,8,12","(1.500,0.000);(2.000,0.000);(2.000,0.500);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.500)","0.18800,0.12500,0.25000,0.18800,0.18800,0.12500,0.12500",232.00007222954073,2.0,0.6428571428571429,2.857142857142857
7,"2,3,4,5,7,8,12","(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.500)","0.12500,0.18800,0.12500,0.25000,0.18800,0.12500,0.12500",232.00007222954073,2.0,0.6428571428571429,2.857142857142857
7,"1,2,5,6,8,11,14","(1.500,0.000);(2.000,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.000,1.500);(2.000,2.000)","0.18800,0.12500,0.25000,0.18800,0.12500,0.25000,0.12500",232.10126271555478,2.0,0.7857142857142857,3.928571428571429
7,"1,2,6,7,8,9,14","(1.500,0.000);(2.000,0.000);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.000,2.000)","0.18800,0.12500,0.18800,0.18800,0.12500,0.12500,0.12500",232.10126271555478,2.0,0.7857142857142857,3.928571428571429
7,"1,3,5,7,8,9,14","(1.500,0.000);(2.500,0.000);(2.000,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.000,2.000)","0.18800,0.18800,0.25000,0.18800,0.12500,0.12500,0.12500",232.10126271555478,2.0,0.7857142857142857,3.928571428571429
7,"2,3,4,5,8,11,14","(2.000,0.000);(2.500,0.000);(1.500,0.500);(2.000,0.500);(2.000,1.000);(2.000,1.500);(2.000,2.000)","0.12500,0.18800,0.12500,0.25000,0.12500,0.25000,0.12500",232.10126271555478,2.0,0.7857142857142857,3.928571428571429
7,"2,3,4,7,8,9,14","(2.000,0.000);(2.500,0.000);(1.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.000,2.000)","0.12500,0.18800,0.12500,0.18800,0.12500,0.12500,0.12500",232.10126271555478,2.0,0.7857142857142857,3.928571428571429
7,"2,7,8,9,11,13,15","(2.000,0.000);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.000,1.500);(1.500,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.12500,0.25000,0.12500,0.18800",232.10126271555478,2.0,1.2142857142857142,3.928571428571429
7,"2,5,8,10,11,14,15","(2.000,0.000);(2.000,0.500);(2.000,1.000);(1.500,1.500);(2.000,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.25000,0.12500,0.12500,0.25000,0.12500,0.18800",232.1012627155548,2.0,1.2142857142857142,3.928571428571429
7,"2,5,8,11,12,13,14","(2.000,0.000);(2.000,0.500);(2.000,1.000);(2.000,1.500);(2.500,1.500);(1.500,2.000);(2.000,2.000)","0.12500,0.25000,0.12500,0.25000,0.12500,0.12500,0.12500",232.1012627155548,2.0,1.2142857142857142,3.928571428571429
7,"2,7,8,9,10,14,15","(2.000,0.000);(1.500,1.000);(2.000,1.000);(2.500,1.000);(1.500,1.500);(2.000,2.000);(2.500,2.000)","0.12500,0.18800,0.12500,0.12500,0.12500,0.12500,0.18800",232.1012627155548,2.0,1.2142857142857142,3.928571428571429
7,"2,7,8,9,12,13,14","(2.000,0.000);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.500,1.500);(1.500,2.000);(2.000,2.000)","0.12500,0.18800,0.12500,0.12500,0.12500,0.12500,0.12500",232.1012627155548,2.0,1.2142857142857142,3.928571428571429
7,"2,3,5,6,8,11,12","(2.000,0.000);(2.500,0.000);(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.000,1.500);(2.500,1.500)","0.12500,0.18800,0.25000,0.18800,0.12500,0.25000,0.12500",232.29717873413114,2.2142857142857144,0.7142857142857143,2.857142857142857
7,"2,3,6,7,8,9,12","(2.000,0.000);(2.500,0.000);(2.500,0.500);(1.500,1.000);(2.000,1.000);(2.500,1.000);(2.500,1.500)","0.12500,0.18800,0.18800,0.18800,0.12500,0.12500,0.12500",232.29717873413114,2.2142857142857144,0.7142857142857143,2.857142857142857
7,"5,6,8,11,12,14,15","(2.000,0.500);(2.500,0.500);(2.000,1.000);(2.000,1.500);(2.500,1.500);(2.000,2.000);(2.500,2.000)","0.25000,0.18800,0.12500,0.25000,0.12500,0.12500,0.18800",232.29717873413117,2.2142857142857144,1.2857142857142858,2.857142857142857
